Requirement,Chapter,Sequence,SRS,Wave,Acceptance Test,Test Commit SHA,CI Workflow,CI Run Number,Immutable CI Run ID,Engineering Result,Engineering Status,Downstream Status,CI Job ID,Source
"REQ-46301","463","1","SRS-FR-2323","W01","eper/tests/requirement-acceptance-wave-01.test.mjs","d8650c961699a438e1586bffa3e323bc2ea270a5","CI","47","35951426690","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46302","463","2","SRS-FR-2324","W01","eper/tests/requirement-acceptance-wave-01.test.mjs","d8650c961699a438e1586bffa3e323bc2ea270a5","CI","47","35951426690","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46303","463","3","SRS-FR-2325","W01","eper/tests/requirement-acceptance-wave-01.test.mjs","d8650c961699a438e1586bffa3e323bc2ea270a5","CI","47","35951426690","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46304","463","4","SRS-FR-2326","W01","eper/tests/requirement-acceptance-wave-01.test.mjs","d8650c961699a438e1586bffa3e323bc2ea270a5","CI","47","35951426690","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46305","463","5","SRS-FR-2327","W01","eper/tests/requirement-acceptance-wave-01.test.mjs","d8650c961699a438e1586bffa3e323bc2ea270a5","CI","47","35951426690","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46306","463","6","SRS-FR-2328","W01","eper/tests/requirement-acceptance-wave-01.test.mjs","d8650c961699a438e1586bffa3e323bc2ea270a5","CI","47","35951426690","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46401","464","1","SRS-FR-2329","W02","eper/tests/requirement-acceptance-wave-02.test.mjs","fdf2b58691639518ea6cc5cc4af6b99aba1f5741","CI","54","35954851610","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46402","464","2","SRS-FR-2330","W02","eper/tests/requirement-acceptance-wave-02.test.mjs","fdf2b58691639518ea6cc5cc4af6b99aba1f5741","CI","54","35954851610","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46403","464","3","SRS-FR-2331","W02","eper/tests/requirement-acceptance-wave-02.test.mjs","fdf2b58691639518ea6cc5cc4af6b99aba1f5741","CI","54","35954851610","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46404","464","4","SRS-FR-2332","W02","eper/tests/requirement-acceptance-wave-02.test.mjs","fdf2b58691639518ea6cc5cc4af6b99aba1f5741","CI","54","35954851610","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
